COUNTRY,METRIC,2025,2026,2027,2028,2029,2030
Brazil,"GDP (Annual, %)",2.4,1.5,2.0,2.1415,2.2063,2.2487
Brazil,"INFLATION RATE (EOP, %)",4.264347581156258,3.8,3.6,3.4454,3.4796,3.4562
Brazil,"MONETARY POLICY RATE (EOP, %)",15.0,12.0,10.25,9.6711,9.2692,9.0833
Brazil,"10 YEARS NOMINAL INTEREST RATE (EOP, %)",13.73495,12.0,10.5,10.9882,-,-
Chile,"GDP (Annual, %)",2.3,2.7,2.8,2.3663,2.3934,2.4397
Chile,"INFLATION RATE (EOP, %)",3.4463169854194176,3.0,3.0,3.0114,3.0181,3.0408
Chile,"MONETARY POLICY RATE (EOP, %)",4.5,4.0,4.0,4.3409,4.2083,4.1667
Chile,"10 YEARS NOMINAL INTEREST RATE (EOP, %)",5.39440533,5.2,5.3,-,-,-
Mexico,"GDP (Annual, %)",0.99,1.2,2.0,2.097,2.1989,2.2429
Mexico,"INFLATION RATE (EOP, %)",3.6919441242778017,3.8,3.6,3.4934,3.5248,3.5589
Mexico,"MONETARY POLICY RATE (EOP, %)",7.0,6.5,6.5,6.6154,6.7222,6.625
Mexico,"10 YEARS NOMINAL INTEREST RATE (EOP, %)",9.116,9.25,9.5,7.9176,7.811,7.8696
Colombia,"GDP (Annual, %)",2.523,2.9,2.7,2.7664,2.8624,2.8907
Colombia,"INFLATION RATE (EOP, %)",5.10077305356158,6.3,3.9,3.6658,3.3666,3.2761
Colombia,"MONETARY POLICY RATE (EOP, %)",9.25,11.0,9.75,7.8676,7,7
Colombia,"10 YEARS NOMINAL INTEREST RATE (EOP, %)",11.48,11.5,10.0,-,-,-
Peru,"GDP (Annual, %)",2.93,2.85,3.1,2.949,2.9154,2.9088
Peru,"INFLATION RATE (EOP, %)",1.5065253569238823,2.0,2.0,2.3668,2.2916,2.2792
Peru,"MONETARY POLICY RATE (EOP, %)",4.25,4.0,4.25,4.2272,4.0559,4.0004
Peru,"10 YEARS NOMINAL INTEREST RATE (EOP, %)",5.783,6.25,6.5,6.15,6.152,-
Argentina,"GDP (Annual, %)",4.465,3.5,3.5,2.9294,2.738,2.7982
Argentina,"INFLATION RATE (EOP, %)",31.548760512645725,24,15,9.747,8.9429,7.2876
Argentina,"MONETARY POLICY RATE (EOP, %)",29,21,15,-,-,-
Argentina,"10 YEARS NOMINAL INTEREST RATE (EOP, %)",-,-,-,-,-,-
