COMPANIES (PIONERO),% PORTFOLIO,% IGPA Small Cap,OVERWEIGHT/UNDERWEIGHT
PUCOBRE,0.2205934228669663,0,0.2205934228669663
ENAEX,0.11550828985252931,0,0.11550828985252931
NORTEGRANDE,0.0767945869496166,0,0.0767945869496166
BLUMAR,0.056644762901885644,0,0.056644762901885644
SIGDO KOPPERS,0.04955771018271274,0,0.04955771018271274
EMBOTELLADORA ANDINA,0.04770353717103428,0,0.04770353717103428
BICECORP,0.043747520809248,0,0.043747520809248
WATTS,0.03813882663504676,0,0.03813882663504676
ALMENDRAL,0.048392182981855755,0.0176254052,0.030766777781855756
ECHEVERRIA IZQUIERDO,0.024660944057678637,0,0.024660944057678637
MULTIEXPORT FOODS,0.014377602351330336,0,0.014377602351330336
QUINENCO,0.014004707865463612,0,0.014004707865463612
ENTEL,0.012117706214788873,0,0.012117706214788873
ORO BLANCO,0.009619093971539774,0,0.009619093971539774
TRICOT,0.009529422405933371,0,0.009529422405933371
FORUS,0.036077665778326655,0.0267949875,0.009282678278326656
CRISTALERIAS CHILE,0.00845303904776832,0,0.00845303904776832
CAMANCHACA,0.008217389932921145,0,0.008217389932921145
FEPASA,0.0054029848762666855,0,0.0054029848762666855
SOCOVESA,0.004005087535234953,0,0.004005087535234953
EDELPA,0.0029468211652538216,0,0.0029468211652538216
CINTAC,0.0006153292281785626,0,0.0006153292281785626
SAAM,0.06250803647581937,0.0670388237,-0.004530787224180627
LA POLAR,0,0.0054717814,-0.0054717814
AAISA,0,0.0109187979,-0.0109187979
CLINICA LAS CONDES,0,0.0118148439,-0.0118148439
NATURGY,0,0.014560144,-0.014560144
INGEVEC,0,0.0164029319,-0.0164029319
INVERCAP,0,0.0169674233,-0.0169674233
SONDA,0,0.0173274463,-0.0173274463
EMBONOR,0.025036123356761367,0.0443332689,-0.019297145543238633
INDISA,0,0.0300872377,-0.0300872377
BANVIDA,0,0.0312853835,-0.0312853835
NUAM,0,0.042808639,-0.042808639
INVERSIONES LA CONSTRUCCION,0.04551066105034816,0.0960253773,-0.05051471624965185
BESALCO,0,0.0522500548,-0.0522500548
SMU,0,0.0560491173,-0.0560491173
SALFACORP,0.019836544335490987,0.0790208319,-0.05918428756450902
CONCHA Y TORO,0,0.0615911395,-0.0615911395
RIPLEY,0,0.0654508555,-0.0654508555
CAP,0,0.073208466,-0.073208466
INVERSIONES AGUAS METROPOLITANAS,0,0.0748620793,-0.0748620793
ENGIE ENERGIA CHILE,0,0.0881049645,-0.0881049645
