cierre_cartera,2025-12-31
precios,2026-01-13
resultados,3Q 2025

company,sector
CAP,Acero
Cintac,Acero
Provida,AFP
Habitat,AFP
AFPCapital,AFP
Cuprum,AFP
Watts,Alimentos
Carozzi,Alimentos
HF,Alimentos
Bsantander,Bancos
Chile,Bancos
BCI,Bancos
Itaucl,Bancos
Nubank,Bancos
ILC,Conglomerados
Bicecorp,Grup. Financ.
Banvida,Grup. Financ.
Andina-A,Bebidas
Andina-B,Bebidas
CCU,Bebidas
Embonor-A,Bebidas
Embonor-B,Bebidas
Cencosud,Retail
Falabella,Retail
Mercado Libre,Retail
SMU,Retail
Ripley,Retail
Nuevapolar,Retail
Hites,Retail
Forus,Retail
Tricot,Retail
Zofri,Retail
Mallplaza,Real Estate
Cencoshopp,Real Estate
Parauco,Real Estate
Quinenco,Conglomerados
SK,Conglomerados
Cristales,Conglomerados
Elecmetal,Conglomerados
Salfacorp,Construcción
Besalco,Construcción
EISA,Construcción
Socovesa,Construcción
Paz,Construcción
Manquehue,Construcción
Ingevec,Construcción
Moller,Construcción
Cementos,Construcción
Polpaico,
Enjoy,Dep y Ent
EnelAm,Electrico
EnelChile,Electrico
EnelGxCh,Electrico
AesAndes,Electrico
Colbun,Electrico
ECL,Electrico
Pehuenche,Electrico
Enlasa,Electrico
Edelpa,Empaque
Enaex,Explosivos
Copec,Forestal
Cmpc,Forestal
Masisa,Forestal
Geopark,Gas y Petroleo
Antarchile,Forestal
Almendral,Telecom
Minera,Acero
IAM,Serv. Públicos
Naviera,Transp y puerto
Vapores,Transp y puerto
Invercap,Acero
CalicheraA,Min. No-Metal
CalicheraB,Min. No-Metal
Nitratos,Min. No-Metal
Nortegran,Min. No-Metal
Oro Blanco,Min. No-Metal
Potasios-A,Min. No-Metal
Potasios-B,Min. No-Metal
Pasur,Inversiones
Molymet,Manufactura
Pucobre,Min. Metal
Antofagasta,Min. Metal
Sqm-A,Min. No-Metal
Sqm-B,Min. No-Metal
Soquicom,Retail
MultiX,Salmones y Pesca
Salmocam,Salmones y Pesca
Camanchaca,Salmones y Pesca
Blumar,Salmones y Pesca
Las Condes,Seguros y Salud
Indisa,Seguros y Salud
Gasco,Serv. Públicos
Aguas-A,Serv. Públicos
Aguas-B,Serv. Públicos
Aguas,Serv. Públicos
Lipigas,Serv. Públicos
Sonda,Tecnología
Entel,Telecom
LTM,Transp y puerto
SMSAAM,Transp y puerto
Ventanas,Transp y puerto
Fepasa,Transp y puerto
ConchaToro,Vinos
VSPT,Vinos
Santa Rita,Vinos
